,Title,Task
872,"Title Examiners, Abstractors, and Searchers","[""Examine documentation such as mortgages, liens, judgments, easements, plat books, maps, contracts, and agreements to verify factors such as properties' legal descriptions, ownership, or restrictions."", 'Examine individual titles to determine if restrictions, such as delinquent taxes, will affect titles and limit property use.', 'Prepare reports describing any title encumbrances encountered during searching activities and outlining actions needed to clear titles.', 'Copy or summarize recorded documents, such as mortgages, trust deeds, and contracts, that affect property titles.', 'Verify accuracy and completeness of land-related documents accepted for registration, preparing rejection notices when documents are not acceptable.', 'Prepare lists of all legal instruments applying to a specific piece of land and the buildings on it.', 'Read search requests to ascertain types of title evidence required and to obtain descriptions of properties and names of involved parties.', ""Obtain maps or drawings delineating properties from company title plants, county surveyors, or assessors' offices."", 'Confer with realtors, lending institution personnel, buyers, sellers, contractors, surveyors, and courthouse personnel to exchange title-related information or to resolve problems.', 'Enter into record-keeping systems appropriate data needed to create new title records or to update existing ones.', 'Retrieve and examine real estate closing files for accuracy and to ensure that information included is recorded and executed according to regulations.', 'Prepare real estate closing statements, using knowledge and expertise in real estate procedures.', 'Prepare and issue title commitments and title insurance policies, based on information compiled from title searches.', 'Direct activities of workers who search records and examine titles, assigning, scheduling, and evaluating work, and providing technical guidance as necessary.', 'Determine whether land-related documents can be registered under the relevant legislation, such as the Land Titles Act.', 'Assess fees related to registration of property-related documents.', 'Summarize pertinent legal or insurance details, or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference.']"
873,"Tool Grinders, Filers, and Sharpeners","['Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.', 'Inspect, feel, and measure workpieces to ensure that surfaces and dimensions meet specifications.', 'Study blueprints or layouts of metal workpieces to determine grinding procedures, and to plan machine setups and operational sequences.', 'Select and mount grinding wheels on machines, according to specifications, using hand tools and applying knowledge of abrasives and grinding procedures.', 'Compute numbers, widths, and angles of cutting tools, micrometers, scales, and gauges, and adjust tools to produce specified cuts.', 'Turn valves to direct flow of coolant against cutting wheels and workpieces during grinding.', 'Set up and operate grinding or polishing machines to grind metal workpieces, such as dies, parts, and tools.', 'Dress grinding wheels, according to specifications.', 'File or finish surfaces of workpieces, using prescribed hand tools.', 'Perform basic maintenance, such as cleaning and lubricating machine parts.', 'Remove finished workpieces from machines and place them in boxes or on racks, setting aside pieces that are defective.', 'Remove and replace worn or broken machine parts, using hand tools.', 'Fit parts together in pre-assembly to ensure that dimensions are accurate.', 'Attach workpieces to grinding machines and form specified sections and repair cracks, using welding or brazing equipment.', 'Duplicate workpiece contours, using tracer attachments.', 'Inspect dies to detect defects, assess wear, and verify specifications, using micrometers, steel gauge pins, and loupes.', 'Place workpieces in electroplating solutions or apply pigments to surfaces of workpieces to highlight ridges and grooves.', 'Straighten workpieces and remove dents, using straightening presses and hammers.']"
874,Tool and Die Makers,"['Verify dimensions, alignments, and clearances of finished parts for conformance to specifications, using measuring instruments such as calipers, gauge blocks, micrometers, or dial indicators.', 'Set up and operate conventional or computer numerically controlled machine tools such as lathes, milling machines, or grinders to cut, bore, grind, or otherwise shape parts to prescribed dimensions and finishes.', 'Visualize and compute dimensions, sizes, shapes, and tolerances of assemblies, based on specifications.', 'Study blueprints, sketches, models, or specifications to plan sequences of operations for fabricating tools, dies, or assemblies.', 'Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools, hand tools, or welders.', 'Inspect finished dies for smoothness, contour conformity, and defects.', 'Select metals to be used from a range of metals and alloys, based on properties such as hardness or heat tolerance.', 'Lift, position, and secure machined parts on surface plates or worktables, using hoists, vises, v-blocks, or angle plates.', 'File, grind, shim, and adjust different parts to properly fit them together.', 'Smooth and polish flat and contoured surfaces of parts or tools, using scrapers, abrasive stones, files, emery cloths, or power grinders.', 'Measure, mark, and scribe metal or plastic stock to lay out machining, using instruments such as protractors, micrometers, scribes, or rulers.', 'Conduct test runs with completed tools or dies to ensure that parts meet specifications, making adjustments as necessary.', 'Design jigs, fixtures, and templates for use as work aids in the fabrication of parts or products.', 'Cut, shape, and trim blanks or blocks to specified lengths or shapes, using power saws, power shears, rules, and hand tools.', 'Set up and operate drill presses to drill and tap holes in parts for assembly.', 'Develop and design new tools and dies, using computer-aided design software.', 'Set pyrometer controls of heat-treating furnaces and feed or place parts, tools, or assemblies into furnaces to harden.']"
875,Tour Guides and Escorts,"['Describe tour points of interest to group members, and respond to questions.', 'Escort individuals or groups on cruises, sightseeing tours, or through places of interest, such as industrial establishments, public buildings, or art galleries.', ""Monitor visitors' activities to ensure compliance with establishment or tour regulations and safety practices."", 'Conduct educational activities for school children.', ""Research various topics, including site history, environmental conditions, and clients' skills and abilities to plan appropriate expeditions, instruction, and commentary."", 'Provide directions and other pertinent information to visitors.', 'Select travel routes and sites to be visited based on knowledge of specific areas.', 'Provide for physical safety of groups, performing such activities as providing first aid or directing emergency evacuations.', 'Assemble and check the required supplies and equipment prior to departure.', 'Greet and register visitors, and issue any required identification badges or safety devices.', 'Distribute brochures, show audiovisual presentations, and explain establishment processes and operations at tour sites.', 'Drive motor vehicles to transport visitors to establishments and tour site locations.', 'Train other guides and volunteers.', 'Provide information about wildlife varieties and habitats, as well as any relevant regulations, such as those pertaining to hunting and fishing.', 'Teach skills, such as proper climbing methods, and demonstrate and advise on the use of equipment.', 'Collect fees and tickets from group members.', 'Perform clerical duties, such as filing, typing, operating switchboards, or routing mail and messages.', 'Solicit tour patronage and sell souvenirs.', 'Speak foreign languages to communicate with foreign visitors.']"
876,Traffic Technicians,"['Study traffic delays by noting times of delays, the numbers of vehicles affected, and vehicle speed through the delay area.', 'Interact with the public to answer traffic-related questions, respond to complaints or requests, or discuss traffic control ordinances, plans, policies, or procedures.', 'Prepare graphs, charts, diagrams, or other aids to illustrate observations or conclusions.', 'Analyze data related to traffic flow, accident rates, or proposed development to determine the most efficient methods to expedite traffic flow.', 'Prepare work orders for repair, maintenance, or changes in traffic systems.', 'Plan, design, and improve components of traffic control systems to accommodate current or projected traffic and to increase usability and efficiency.', 'Compute time settings for traffic signals or speed restrictions, using standard formulas.', 'Prepare drawings of proposed signal installations or other control devices, using drafting instruments or computer-automated drafting equipment.', 'Study factors affecting traffic conditions, such as lighting or sign and marking visibility, to assess their effectiveness.', 'Gather and compile data from hand count sheets, machine count tapes, or radar speed checks and code data for computer input.', 'Measure and record the speed of vehicular traffic, using electrical timing devices or radar equipment.', 'Lay out pavement markings for striping crews.', 'Provide technical supervision regarding traffic control devices to other traffic technicians or laborers.', 'Operate counters and record data to assess the volume, type, and movement of vehicular or pedestrian traffic at specified times.', 'Place and secure automatic counters, using power tools, and retrieve counters after counting periods end.', 'Review traffic control or barricade plans to issue permits for parades or other special events or for construction work that affects rights of way, providing assistance with plan preparation or revision, as necessary.', 'Time stoplights or other delays, using stopwatches.', 'Maintain or make minor adjustments or field repairs to equipment used in surveys, including the replacement of parts on traffic data gathering devices.', ""Visit development or work sites to determine projects' effect on traffic and the adequacy of traffic control and safety plans or to suggest traffic control measures."", 'Establish procedures for street closures or for repair or construction projects.', 'Provide traffic information, such as road conditions, to the public.', 'Monitor street or utility projects for compliance to traffic control permit conditions.', 'Develop plans or long-range strategies for providing adequate parking space.', 'Interview motorists about specific intersections or highways to gather road-condition information for use in planning.']"
877,Training and Development Managers,"['Analyze training needs to develop new training programs or modify and improve existing programs.', 'Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.', 'Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.', 'Prepare training budget for department or organization.', 'Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.', 'Develop and organize training manuals, multimedia visual aids, and other educational materials.', 'Develop testing and evaluation procedures.', 'Train instructors and supervisors in techniques and skills for training and dealing with employees.', 'Conduct orientation sessions and arrange on-the-job training for new hires.', 'Conduct or arrange for ongoing technical training and personal development classes for staff members.', 'Review and evaluate training and apprenticeship programs for compliance with government standards.', 'Coordinate established courses with technical and professional courses provided by community schools, and designate training procedures.']"
878,Training and Development Specialists,"['Present information with a variety of instructional techniques or formats, such as role playing, simulations, team exercises, group discussions, videos, or lectures.', 'Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.', 'Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.', 'Offer specific training programs to help workers maintain or improve job skills.', 'Assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.', 'Monitor, evaluate, or record training activities or program effectiveness.', 'Design, plan, organize, or direct orientation and training programs for employees or customers.', 'Develop alternative training methods if expected improvements are not seen.', 'Evaluate training materials prepared by instructors, such as outlines, text, or handouts.', 'Monitor training costs and prepare budget reports to justify expenditures.', 'Devise programs to develop executive potential among employees in lower-level positions.', 'Keep up with developments in area of expertise by reading current journals, books, or magazine articles.', 'Attend meetings or seminars to obtain information for use in training programs or to inform management of training program status.', 'Coordinate recruitment and placement of training program participants.', 'Select and assign instructors to conduct training.', 'Negotiate contracts with clients for desired training outcomes, fees, or expenses.', 'Supervise, evaluate, or refer instructors to skill development classes.', 'Schedule classes based on availability of classrooms, equipment, or instructors.', 'Refer trainees to employer relations representatives, to locations offering job placement assistance, or to appropriate social services agencies, if warranted.', 'Develop or implement training programs related to efficiency, recycling, or other issues with environmental impacts.']"
879,Transit and Railroad Police,"['Prepare reports documenting investigation activities and results.', 'Monitor transit areas and conduct security checks to protect railroad properties, patrons, and employees.', 'Apprehend or remove trespassers or thieves from railroad property or coordinate with law enforcement agencies in apprehensions and removals.', 'Direct security activities at derailments, fires, floods, or strikes involving railroad property.', 'Patrol railroad yards, cars, stations, or other facilities to protect company property or shipments and to maintain order.', ""Investigate or direct investigations of freight theft, suspicious damage or loss of passengers' valuables, or other crimes on railroad property."", 'Examine credentials of unauthorized persons attempting to enter secured areas.', 'Enforce traffic laws regarding the transit system and reprimand individuals who violate them.', 'Provide training to the public or law enforcement personnel in railroad safety or security.', 'Plan or implement special safety or preventive programs, such as fire or accident prevention.', 'Direct or coordinate the daily activities or training of security staff.', 'Record and verify seal numbers from boxcars containing frequently pilfered items, such as cigarettes or liquor, to detect tampering.', 'Interview neighbors, associates, or former employers of job applicants to verify personal references or to obtain work history data.', 'Seal empty boxcars by twisting nails in door hasps, using nail twisters.']"
880,Transportation Engineers,"['Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.', 'Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.', 'Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.', 'Design or engineer drainage, erosion, or sedimentation control systems for transportation projects.', 'Prepare project budgets, schedules, or specifications for labor or materials.', 'Plan alteration or modification of existing transportation structures to improve safety or function.', 'Investigate traffic problems and recommend methods to improve traffic flow or safety.', 'Prepare final project layout drawings that include details such as stress calculations.', 'Estimate transportation project costs.', 'Present data, maps, or other information at construction-related public hearings or meetings.', 'Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.', 'Evaluate transportation systems or traffic control devices or lighting systems to determine need for modification or expansion.', 'Review development plans to determine potential traffic impact.', 'Inspect completed transportation projects to ensure safety or compliance with applicable standards or regulations.', 'Evaluate traffic control devices or lighting systems to determine need for modification or expansion.', 'Direct the surveying, staking, or laying-out of construction projects.', 'Participate in contract bidding, negotiation, or administration.', 'Model transportation scenarios to evaluate the impacts of activities such as new development or to identify possible solutions to transportation problems.', 'Investigate or test specific construction project materials to determine compliance to specifications or standards.', 'Supervise the maintenance or repair of transportation systems or system components.', 'Inspect completed transportation projects to ensure compliance with environmental regulations.', 'Evaluate construction project materials for compliance with environmental standards.', 'Develop plans to deconstruct damaged or obsolete roadways or other transportation structures in a manner that is environmentally sound or prepares the land for sustainable development.', 'Analyze environmental impact statements for transportation projects.', 'Design transportation systems or structures with sustainable materials or products, such as porous pavement or bioretention structures.', 'Develop or assist in the development of transportation-related computer software or computer processes.']"
881,Transportation Inspectors,"['Prepare and submit reports after completion of freight shipments.', 'Inspect shipments to ensure that freight is securely braced and blocked.', 'Record details about freight conditions, handling of freight, and any problems encountered.', 'Advise crews in techniques of stowing dangerous and heavy cargo.', 'Observe loading of freight to ensure that crews comply with procedures.', 'Recommend remedial procedures to correct any violations found during inspections.', 'Inspect loaded cargo, cargo lashed to decks or in storage facilities, and cargo handling devices to determine compliance with health and safety regulations and need for maintenance.', 'Notify workers of any special treatment required for shipments.', 'Direct crews to reload freight or to insert additional bracing or packing as necessary.', 'Check temperatures and humidities of shipping and storage areas to ensure that they are at appropriate levels to protect cargo.', 'Determine cargo transportation capabilities by reading documents that set forth cargo loading and securing procedures, capacities, and stability factors.', 'Read draft markings to determine depths of vessels in water.', 'Issue certificates of compliance for vessels without violations.', 'Write certificates of admeasurement that list details such as designs, lengths, depths, and breadths of vessels, and methods of propulsion.', 'Post warning signs on vehicles containing explosives or flammable or radioactive materials.', 'Measure heights and widths of loads to ensure they will pass over bridges or through tunnels on scheduled routes.', 'Time rolls of ships, using stopwatches.', 'Determine types of licenses and safety equipment required, and compute applicable fees such as tolls and wharfage fees.', 'Calculate gross and net tonnage, hold capacities, volumes of stored fuel and water, cargo weights, and vessel stability factors, using mathematical formulas.', ""Measure vessels' holds and depths of fuel and water in tanks, using sounding lines and tape measures."", 'Visually inspect cargo for damage upon arrival or discharge.']"
882,Transportation Planners,"['Recommend transportation system improvements or projects, based on economic, population, land-use, or traffic projections.', 'Define regional or local transportation planning problems or priorities.', 'Participate in public meetings or hearings to explain planning proposals, to gather feedback from those affected by projects, or to achieve consensus on project designs.', 'Design transportation surveys to identify areas of public concern.', 'Interpret data from traffic modeling software, geographic information systems, or associated databases.', 'Prepare reports or recommendations on transportation planning.', 'Design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas.', 'Analyze information related to transportation, such as land use policies, environmental impact of projects, or long-range planning needs.', 'Collaborate with engineers to research, analyze, or resolve complex transportation design issues.', 'Evaluate transportation project needs or costs.', 'Collaborate with other professionals to develop sustainable transportation strategies at the local, regional, or national level.', 'Prepare necessary documents to obtain planned project approvals or permits.', 'Analyze information from traffic counting programs.', 'Develop computer models to address transportation planning issues.', 'Develop or test new methods or models of transportation analysis.', 'Prepare or review engineering studies or specifications.', 'Review development plans for transportation system effects, infrastructure requirements, or compliance with applicable transportation regulations.', 'Evaluate transportation-related consequences of federal or state legislative proposals.', 'Produce environmental documents, such as environmental assessments or environmental impact statements.', 'Direct urban traffic counting programs.', 'Represent jurisdictions in the legislative or administrative approval of land development projects.', 'Define or update information such as urban boundaries or classification of roadways.']"
883,Transportation Security Screeners,"['Inspect carry-on items, using x-ray viewing equipment, to determine whether items contain objects that warrant further investigation.', 'Search carry-on or checked baggage by hand when it is suspected to contain prohibited items such as weapons.', ""Check passengers' tickets to ensure that they are valid, and to determine whether passengers have designations that require special handling, such as providing photo identification."", 'Test baggage for any explosive materials, using equipment such as explosive detection machines or chemical swab systems.', 'Perform pat-down or hand-held wand searches of passengers who have triggered machine alarms, who are unable to pass through metal detectors, or who have been randomly identified for such searches.', 'Notify supervisors or other appropriate personnel when security breaches occur.', 'Send checked baggage through automated screening machines, and set bags aside for searching or rescreening as indicated by equipment.', 'Decide whether baggage that triggers alarms should be searched or should be allowed to pass through.', 'Follow those who breach security until police or other security personnel arrive to apprehend them.', 'Inform other screeners when baggage should not be opened because it might contain explosives.', 'Inspect checked baggage for signs of tampering.', 'Ask passengers to remove shoes and divest themselves of metal objects prior to walking through metal detectors.', 'Close entry areas following security breaches or reopen areas after receiving notification that the airport is secure.', 'Challenge suspicious people, requesting their badges and asking what their business is in a particular areas.', 'Patrol work areas to detect any suspicious items.', 'Contact police directly in cases of urgent security issues, using phones or two-way radios.', 'Record information about any baggage that sets off alarms in monitoring equipment.', 'Watch for potentially dangerous persons whose pictures are posted at checkpoints.', 'Contact leads or supervisors to discuss objects of concern that are not on prohibited object lists.', 'Confiscate dangerous items and hazardous materials found in opened bags and turn them over to airlines for disposal.', 'Monitor passenger flow through screening checkpoints to ensure order and efficiency.', 'Inform passengers of how to mail prohibited items to themselves, or confiscate these items.', 'Provide directions and respond to passenger inquiries.', 'Direct passengers to areas where they can pick up their baggage after screening is complete.', 'View images of checked bags and cargo, using remote screening equipment, and alert baggage screeners or handlers to any possible problems.', 'Locate suspicious bags pictured in printouts sent from remote monitoring areas, and set these bags aside for inspection.']"
884,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","['Inspect vehicles or other equipment for evidence of abuse, damage, or mechanical malfunction.', 'Inspect vehicles or equipment to ensure compliance with rules, standards, or regulations.', 'Inspect repairs to transportation vehicles or equipment to ensure that repair work was performed properly.', 'Identify modifications to engines, fuel systems, emissions control equipment, or other vehicle systems to determine the impact of modifications on inspection procedures or conclusions.', 'Perform low-pressure fuel evaluative tests (LPFET) to test for harmful emissions from vehicles without onboard diagnostics (OBD) equipment.', 'Conduct remote inspections of motor vehicles, using handheld controllers and remotely directed vehicle inspection devices.', 'Prepare reports on investigations or inspections and actions taken.', 'Monitor or review output from systems, such as Thermal Imaging Units (TIU) or roadside imaging tools, to identify high-risk commercial motor vehicles for follow-up inspections.', 'Issue notices and recommend corrective actions when infractions or problems are found.', 'Compare emissions findings with applicable emissions standards.', 'Evaluate new methods of packaging, testing, shipping, or transporting hazardous materials to ensure adequate public safety protection.', 'Investigate and make recommendations on carrier requests for waiver of federal standards.', 'Conduct visual inspections of emission control equipment and smoke emitted from gasoline or diesel vehicles.', 'Conduct vehicle or transportation equipment tests, using diagnostic equipment.', 'Identify emissions testing procedures and standards appropriate for the age and technology of vehicles.', 'Investigate incidents or violations, such as delays, accidents, and equipment failures.', 'Negotiate with authorities, such as local government officials, to eliminate hazards along transportation routes.', 'Review commercial vehicle logs, shipping papers, or driver and equipment records to detect any problems or to ensure compliance with regulations.', 'Attach onboard diagnostics (OBD) scanner cables to vehicles to conduct emissions inspections.', 'Investigate complaints regarding safety violations.', 'Examine carrier operating rules, employee qualification guidelines, or carrier training and testing programs for compliance with regulations or safety standards.']"
885,"Transportation, Storage, and Distribution Managers","['Supervise the activities of workers engaged in receiving, storing, testing, and shipping products or materials.', 'Plan, develop, or implement warehouse safety and security programs and activities.', 'Inspect physical conditions of warehouses, vehicle fleets, or equipment and order testing, maintenance, repairs, or replacements.', 'Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements.', 'Collaborate with other departments to integrate logistics with business systems or processes, such as customer sales, order management, accounting, or shipping.', 'Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.', 'Resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.', 'Develop and document standard and emergency operating procedures for receiving, handling, storing, shipping, or salvaging products or materials.', 'Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.', 'Analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers.', 'Monitor inventory levels of products or materials in warehouses.', 'Establish or monitor specific supply chain-based performance measurement systems.', 'Prepare and manage departmental budgets.', 'Monitor product import or export processes to ensure compliance with regulatory or legal requirements.', 'Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.', 'Interview, select, and train warehouse and supervisory personnel.', ""Advise sales and billing departments of transportation charges for customers' accounts."", 'Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.', 'Confer with department heads to coordinate warehouse activities, such as production, sales, records control, or purchasing.', 'Implement specific customer requirements, such as internal reporting or customized transportation metrics.', 'Maintain metrics, reports, process documentation, customer service logs, or training or safety records.', 'Examine invoices and shipping manifests for conformity to tariff and customs regulations.', 'Plan or implement energy saving changes to transportation services, such as reducing routes, optimizing capacities, employing alternate modes of transportation, or minimizing idling.', 'Evaluate contractors or business partners for operational efficiency or safety or environmental performance records.', 'Negotiate with carriers, warehouse operators, or insurance company representatives for services and preferential rates.', 'Develop or implement plans for facility modification or expansion, such as equipment purchase or changes in space allocation or structural design.', 'Direct inbound or outbound operations, such as transportation or warehouse activities, safety performance, and logistics quality management.', 'Plan or implement improvements to internal or external systems or processes.', 'Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services.', 'Review invoices, work orders, consumption reports, or demand forecasts to estimate peak performance periods and to issue work assignments.']"
886,Travel Agents,"['Collect payment for transportation and accommodations from customer.', 'Plan, describe, arrange, and sell itinerary tour packages and promotional travel incentives offered by various travel carriers.', 'Converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required.', ""Compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs."", 'Record and maintain information on clients, vendors, and travel packages.', 'Book transportation and hotel reservations, using computer or telephone.', 'Print or request transportation carrier tickets, using computer printer system or system link to travel carrier.', 'Provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations.']"
887,Travel Guides,"['Arrange for tour or expedition details such as accommodations, transportation, equipment, and the availability of medical personnel.', 'Plan tour itineraries, applying knowledge of travel routes and destination sites.', 'Resolve any problems with itineraries, service, or accommodations.', 'Attend to special needs of tour participants.', 'Sell travel packages.', 'Evaluate services received on the tour, and report findings to tour organizers.', 'Give advice on sightseeing and shopping.', 'Administer first aid to injured group participants.', 'Explain hunting and fishing laws to groups to ensure compliance.', 'Lead individuals or groups to tour site locations and describe points of interest.', 'Pilot airplanes or drive land and water vehicles to transport tourists to activity or tour sites.', 'Sell or rent equipment, clothing, and supplies related to expeditions.', 'Pay bills and record checks issued.', 'Verify amounts and quality of equipment prior to expeditions or tours.', 'Instruct novices in climbing techniques, mountaineering, and wilderness survival, and demonstrate use of hunting, fishing, and climbing equipment.', 'Set up camps, and prepare meals for tour group members.', 'Provide tourists with assistance in obtaining permits and documents such as visas, passports, and health certificates, and in converting currency.']"
888,Treasurers and Controllers,"['Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.', 'Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.', 'Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.', 'Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.', 'Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.', 'Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.', 'Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.', 'Receive cash and checks and make deposits.', 'Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.', 'Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.', 'Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.', 'Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.', 'Advise management on short-term and long-term financial objectives, policies, and actions.', 'Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.', 'Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.', 'Lead staff training and development in budgeting and financial management areas.', 'Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.', 'Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.', 'Perform tax planning work.', 'Compute, withhold, and account for all payroll deductions.', ""Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation."", 'Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items.']"
889,Tree Trimmers and Pruners,"['Operate shredding and chipping equipment, and feed limbs and brush into the machines.', 'Operate boom trucks, loaders, stump chippers, brush chippers, tractors, power saws, trucks, sprayers, and other equipment and tools.', 'Cut away dead and excess branches from trees, or clear branches around power lines, using climbing equipment or buckets of extended truck booms, or chainsaws, hooks, handsaws, shears, and clippers.', 'Clean, sharpen, and lubricate tools and equipment.', 'Hoist tools and equipment to tree trimmers, and lower branches with ropes or block and tackle.', 'Climb trees, using climbing hooks and belts, or climb ladders to gain access to work areas.', 'Supervise others engaged in tree trimming work and train lower-level employees.', 'Trim, top, and reshape trees to achieve attractive shapes or to remove low-hanging branches.', 'Load debris and refuse onto trucks and haul it away for disposal.', 'Inspect trees to determine if they have diseases or pest problems.', 'Provide information to the public regarding trees, such as advice on tree care.', 'Trim jagged stumps, using saws or pruning shears.', 'Clear sites, streets, and grounds of woody and herbaceous materials, such as tree stumps and fallen trees and limbs.', 'Collect debris and refuse from tree trimming and removal operations into piles, using shovels, rakes, or other tools.', 'Cable, brace, tie, bolt, stake, and guy trees and branches to provide support.', 'Plan and develop budgets for tree work, and estimate the monetary value of trees.', 'Prune, cut down, fertilize, and spray trees as directed by tree surgeons.', 'Remove broken limbs from wires, using hooked extension poles.', 'Water, root-feed, and fertilize trees.', 'Install lightning protection on trees.', 'Scrape decayed matter from cavities in trees and fill holes with cement to promote healing and to prevent further deterioration.', 'Spray trees to treat diseased or unhealthy trees, including mixing chemicals and calibrating spray equipment.', 'Apply tar or other protective substances to cut surfaces or seal surfaces and to protect them from fungi and insects.', 'Transplant and remove trees and shrubs, and prepare trees for moving.', 'Split logs or wooden blocks into bolts, pickets, posts, or stakes, using hand tools such as ax wedges, sledgehammers, and mallets.', 'Harvest tanbark by cutting rings and slits in bark and stripping bark from trees, using spuds or axes.']"
890,Tutors,"['Provide feedback to students, using positive reinforcement techniques to encourage, motivate, or build confidence in students.', 'Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.', ""Assess students' progress throughout tutoring sessions."", 'Teach students study skills, note-taking skills, and test-taking strategies.', 'Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.', 'Participate in training and development sessions to improve tutoring practices or learn new tutoring techniques.', 'Collaborate with students, parents, teachers, school administrators, or counselors to determine student needs, develop tutoring plans, or assess student progress.', 'Monitor student performance or assist students in academic environments, such as classrooms, laboratories, or computing centers.', 'Schedule tutoring appointments with students or their parents.', 'Organize tutoring environment to promote productivity and learning.', ""Communicate students' progress to students, parents, or teachers in written progress reports, in person, by phone, or by email."", ""Maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records."", 'Identify, develop, or implement intervention strategies, tutoring plans, or individualized education plans (IEPs) for students.', 'Prepare and facilitate tutoring workshops, collaborative projects, or academic support sessions for small groups of students.', ""Prepare lesson plans or learning modules for tutoring sessions according to students' needs and goals."", 'Develop teaching or training materials, such as handouts, study materials, or quizzes.', ""Travel to students' homes, libraries, or schools to conduct tutoring sessions."", 'Administer, proctor, or score academic or diagnostic assessments.', 'Research or recommend textbooks, software, equipment, or other learning materials to complement tutoring.']"
891,"Umpires, Referees, and Other Sports Officials","['Officiate at sporting events, games, or competitions, to maintain standards of play and to ensure that game rules are observed.', 'Inspect game sites for compliance with regulations or safety requirements.', 'Resolve claims of rule infractions or complaints by participants and assess any necessary penalties, according to regulations.', 'Signal participants or other officials to make them aware of infractions or to otherwise regulate play or competition.', 'Teach and explain the rules and regulations governing a specific sport.', 'Inspect sporting equipment or examine participants to ensure compliance with event and safety regulations.', 'Report to regulating organizations regarding sporting activities, complaints made, and actions taken or needed, such as fines or other disciplinary actions.', 'Confer with other sporting officials, coaches, players, and facility managers to provide information, coordinate activities, and discuss problems.', 'Judge performances in sporting competitions to award points, impose scoring penalties, and determine results.', 'Verify scoring calculations before competition winners are announced.', 'Start races and competitions.', 'Compile scores and other athletic records.', 'Verify credentials of participants in sporting events, and make other qualifying determinations, such as starting order or handicap number.', 'Keep track of event times, including race times and elapsed time during game segments, starting or stopping play when necessary.', 'Direct participants to assigned areas, such as starting blocks or penalty areas.', 'Research and study players and teams to anticipate issues that might arise in future engagements.']"
